Designator,Mid X,Mid Y,Rotation,Layer
BT1,51.485,-120.5,0.0,bottom
C1,63.0000364905389,-162.0706,330.0,bottom
C2,96.5,-135.0,0.0,bottom
D1,54.73,-137.1912,0.0,top
D2,66.27,-126.0,0.0,top
Q1,58.27,-153.865,0.0,bottom
Q2,55.89112429425298,-159.71533691302625,15.0,bottom
Q3,50.77,-154.865,0.0,bottom
R1,108.29952260183865,-155.4049994381594,165.0,top
R2,106.29952260183865,-158.9049994381594,165.0,top
R3,81.7,-137.0,0.0,top
R4,103.79955678841871,-162.905,330.0,top
R5,94.0,-172.7995432115813,120.0,top
R6,90.095,-174.7995432115813,120.0,top
R7,86.595,-177.0000432115813,120.0,top
R8,82.5,-179.0000432115813,120.0,top
RV1,92.23,-150.46,0.0,bottom
SW1,88.50001743770056,-119.00004284148501,210.0,top
